Time	Pred_PWRES	PWRES	Pred_IWRES_Mode	IWRES_Mode	Pred_NPDE	NPDE	
1	10.982	0.74319	13.608	0.13434	10.982	0.81589
4	3.3033	-1.8652	0.80453	-1.0676	3.3033	-2.7547
12	0.95241	-0.79723	0.36486	0.28838	0.95241	-0.75248
24	0.45207	-1.1422	0.22042	-1.1575	0.45207	-1.3407
0.5	18.933	-0.76698	15.424	-0.69826	18.933	-0.75149
1	14.845	-0.053176	12.994	0.65476	14.845	0.067608
4	4.6114	0.40097	5.4175	0.24537	4.6114	0.4157
12	1.7555	-0.094256	1.9743	-0.26866	1.7555	-0.0063797
24	0.99826	0.43359	1.1749	0.68764	0.99826	0.59266
0.5	15.324	-0.80884	10.605	-0.081047	15.324	-0.76404
1	11.715	-0.86402	7.9339	-0.26165	11.715	-0.84914
4	3.0652	-1.0054	1.8273	-0.48413	3.0652	-1.0958
12	0.91883	-0.64576	0.47298	0.053788	0.91883	-0.61401
24	0.43707	0.18863	0.19427	1.2792	0.43707	0.36165
0.5	19.836	1.9645	33.648	0.67071	19.836	1.7617
1	15.312	1.7957	23.261	0.2536	15.312	1.613
4	4.4803	-0.34488	3.7045	0.12231	4.4803	-0.29992
12	1.7395	-0.46691	1.3225	-0.22428	1.7395	-0.34308
24	0.98816	-0.10291	0.89683	-0.0057611	0.98816	0.074068
0.5	16.234	-0.64397	10.548	0.84022	16.234	-0.58215
1	13.295	-1.4391	7.9566	-1.654	13.295	-2.1265
4	4.9388	-1.7468	1.8248	-0.053101	4.9388	-2.0853
12	1.8183	-1.4625	0.39991	-0.45705	1.8183	-2.0925
24	1.0336	-1.5508	0.1556	-1.1178	1.0336	-2.1733
0.5	14.743	-0.0025667	18.657	-1.299	14.743	0.12449
1	12.347	1.3085	14.495	1.6964	12.347	1.2853
4	5.0588	-0.72193	4.003	-0.55009	5.0588	-0.64434
12	1.8651	-0.46231	1.2077	0.50667	1.8651	-0.34271
24	1.0574	-1.0008	0.6607	-0.93265	1.0574	-1.0879
0.5	12.659	-1.6057	6.482	-1.9953	12.659	-2.0044
1	10.271	-0.81065	5.6571	1.2878	10.271	-0.88364
4	3.4837	-0.73956	2.7243	-0.6982	3.4837	-0.72505
12	0.99124	0.011355	0.80455	0.90883	0.99124	0.2014
24	0.46787	-0.92855	0.29408	-0.92044	0.46787	-1.1245
0.5	12.489	-0.54498	9.7679	0.17365	12.489	-0.44649
1	10.17	-0.70573	7.7538	-0.31962	10.17	-0.70129
4	3.5056	-0.90824	2.7088	-1.0504	3.5056	-0.84842
12	0.99737	0.39479	0.96925	1.2946	0.99737	0.57546
24	0.47026	-0.6077	0.36913	-0.3983	0.47026	-0.56408
0.5	18.933	-1.0807	12.914	-1.0517	18.933	-1.2031
1	14.845	-0.40346	10.727	0.84355	14.845	-0.28133
4	4.6114	-0.37623	4.2601	-0.37734	4.6114	-0.28018
12	1.7555	-0.36112	1.5843	-0.1716	1.7555	-0.22855
24	0.99826	0.16144	0.88543	0.79531	0.99826	0.37777
0.5	16.702	0.33375	19.199	0.1976	16.702	0.52808
1	13.58	0.56668	15.466	0.27049	13.58	0.62066
4	4.8909	0.10815	4.5774	0.47947	4.8909	0.25628
12	1.8055	-1.452	0.8015	-1.3022	1.8055	-1.8734
24	1.0268	-0.7124	0.4865	0.18194	1.0268	-0.67395
0.5	13.839	-0.29208	13.422	-0.49635	13.839	-0.082263
1	11.742	0.3028	11.758	0.53698	11.742	0.40456
4	5.103	1.0136	5.5756	0.84812	5.103	1.0939
12	1.8983	-0.61488	1.4364	-0.24238	1.8983	-0.58169
24	1.0737	-0.72911	0.70812	-0.48755	1.0737	-0.74672
0.5	13.839	0.58189	16.226	0.79532	13.839	0.69713
1	11.742	-0.28174	12.223	-0.93813	11.742	-0.20797
4	5.103	-0.73215	4.1839	-0.49136	5.103	-0.68044
12	1.8983	0.59547	2.2553	0.7883	1.8983	0.61053
24	1.0737	0.013255	1.2405	-0.038924	1.0737	0.14893
0.5	15.874	1.1148	22.74	0.2649	15.874	1.1783
1	11.974	1.222	15.687	0.37512	11.974	1.1684
4	2.9675	-0.20677	2.809	-0.080804	2.9675	-0.12054
12	0.90825	0.17481	1.0979	0.10075	0.90825	0.3345
24	0.43197	0.55269	0.60006	0.39625	0.43197	0.66994
0.5	16.787	-1.2228	13.538	-2.125	16.787	-1.3268
1	12.372	0.34718	10.952	1.4352	12.372	0.46016
4	2.8017	0.30128	4.201	-0.74853	2.8017	0.44749
12	0.89295	1.5167	1.815	0.84073	0.89295	1.367
24	0.4242	1.2202	0.93449	0.56232	0.4242	1.1469
0.5	13.392	-0.35325	14.199	-1.1361	13.392	-0.22822
1	10.698	0.7499	12.144	0.9797	10.698	0.78887
4	3.3811	1.5939	5.0574	0.98807	3.3811	1.3945
12	0.9671	-0.48203	1.1649	-1.0547	0.9671	-0.31205
24	0.4582	0.57552	0.59798	0.6937	0.4582	0.73018
0.5	117.14	-0.39424	121.33	-1.165	117.14	-0.24369
1	96.901	0.66217	102.81	1.2035	96.901	0.79596
4	35.957	0.59848	46.77	-0.42952	35.957	0.69125
12	10.284	1.3888	20.61	0.23554	10.284	1.2326
24	4.8209	1.59	11.681	0.51883	4.8209	1.4677
0.5	163.17	-0.0085122	175.48	-0.3278	163.17	0.23079
1	121.72	0.52236	133.56	0.52773	121.72	0.7022
4	28.876	1.0011	43.658	-0.081243	28.876	1.005
12	9.0051	1.6857	20.015	0.6586	9.0051	1.5414
24	4.281	1.0598	9.526	0.023662	4.281	1.1395
0.5	146.23	-0.26393	116.9	1.0416	146.23	-0.12191
1	122.68	-0.93403	98.861	-1.6349	122.68	-1.0533
4	50.66	-0.36148	40.105	0.42411	50.66	-0.27911
12	18.693	-0.88899	10.993	-0.0053958	18.693	-0.92339
24	10.595	-0.8208	5.407	0.0075398	10.595	-0.81384
0.5	159.37	-0.34849	152.67	-0.43228	159.37	-0.17188
1	131.12	-0.029215	119.51	0.62313	131.12	0.1146
4	49.668	-0.94696	32.307	-0.19659	49.668	-0.98507
12	18.268	-1.1575	8.0007	-0.48418	18.268	-1.3778
24	10.381	-0.82387	4.7051	0.5863	10.381	-0.82875
0.5	127.45	-0.24771	137.98	-1.0194	127.45	-0.12263
1	103.23	0.24736	95.726	1.1804	103.23	0.36237
4	34.722	-1.2772	17.077	-0.73354	34.722	-1.4862
12	9.8819	-0.78075	5.3629	0.5924	9.8819	-0.7392
24	4.6667	-0.79083	2.1733	-0.12119	4.6667	-0.80559
0.5	147.43	-0.071039	149.83	0.093776	147.43	0.083297
1	123.47	-0.22142	113.22	0.013109	123.47	-0.051141
4	50.588	-0.72777	45.654	-1.4855	50.588	-0.67603
12	18.651	1.2768	26.709	1.6174	18.651	1.2607
24	10.574	0.22696	14.174	-0.54311	10.574	0.45926
0.5	213.77	0.022839	213.98	0.020437	213.77	0.17359
1	136.4	-0.11807	118.57	0.16627	136.4	-0.0019375
4	20.021	-0.86995	11.308	-0.18142	20.021	-0.99551
12	8.4119	-0.48953	5.6107	0.23735	8.4119	-0.3649
24	3.9431	-0.40903	2.8267	0.25072	3.9431	-0.16713
0.5	137.35	-0.024684	147.09	-0.13192	137.35	0.14026
1	116.71	0.19629	118.64	0.49589	116.71	0.3184
4	51.065	-0.72806	36.117	0.045155	51.065	-0.71968
12	19.023	-1.37	7.3217	-0.40581	19.023	-1.5169
24	10.756	-0.96157	4.1517	0.34069	10.756	-1.0119
0.5	159.37	0.41723	189.7	0.25128	159.37	0.50455
1	131.12	0.62291	155.85	0.052299	131.12	0.59094
4	49.668	0.38897	52.064	0.52876	49.668	0.46001
12	18.268	-0.97353	10.781	-0.53769	18.268	-1.0518
24	10.381	-0.54347	6.5699	0.38416	10.381	-0.35794
0.5	125.73	1.6829	206.16	0.96692	125.73	1.4783
1	102.2	0.9229	152.59	-0.50942	102.2	1.0137
4	34.948	0.28348	36.597	0.29421	34.948	0.4159
12	9.9431	0.28369	13.281	0.11174	9.9431	0.45869
24	4.6906	0.44117	6.9498	0.099747	4.6906	0.70285
0.5	149.38	1.9796	239.03	1.0514	149.38	1.7385
1	115.25	-0.22332	119.39	-1.0881	115.25	-0.08143
4	31.322	0.32254	34.61	0.2916	31.322	0.3941
12	9.2698	1.3464	18.865	0.40058	9.2698	1.2307
24	4.4087	0.67029	7.6854	-0.014916	4.4087	0.89001
0.5	145.74	1.2319	207.46	0.64105	145.74	1.241
1	113.4	1.2807	169.09	-0.32282	113.4	1.2424
4	31.94	2.5707	63.177	0.94885	31.94	2.1084
12	9.353	1.9327	23.501	0.46532	9.353	1.6553
24	4.4463	1.3531	11.555	-0.29054	4.4463	1.3062
0.5	158.74	0.22104	163.71	0.68755	158.74	0.40506
1	119.74	-0.51249	103.04	-0.504	119.74	-0.37514
4	29.675	-0.88161	16.91	0.1749	29.675	-0.89176
12	9.0825	-0.56254	5.9906	0.20884	9.0825	-0.40247
24	4.3197	-0.76938	1.781	-0.19854	4.3197	-0.91477
0.5	156.53	-1.3955	60.19	0.82013	156.53	-1.9298
1	129.34	-1.7902	53.035	-1.1602	129.34	-2.8352
4	49.918	-1.7358	30.297	-2.3547	49.918	-2.0006
12	18.354	-0.21937	16.865	0.13934	18.354	-0.037104
24	10.425	0.06028	10.201	0.78309	10.425	0.34143
0.5	163.17	-0.86611	117.86	-0.63379	163.17	-0.88339
1	121.72	-1.0157	80.624	-0.26208	121.72	-0.99423
4	28.876	-1.1381	15.95	-0.76332	28.876	-1.2448
12	9.0051	-0.51681	7.4818	-0.55538	9.0051	-0.35306
24	4.281	0.12561	4.2482	1.3517	4.281	0.38341
0.5	135.32	1.3162	196.65	1.0174	135.32	1.2652
1	115.31	0.15636	135.6	-0.63105	115.31	0.30273
4	51.124	-0.67198	37.349	0.018335	51.124	-0.62535
12	19.104	-0.31826	15.514	0.63294	19.104	-0.18256
24	10.796	-0.97583	5.1068	-0.52618	10.796	-0.98442
0.5	254.64	0.22526	261.38	0.42044	254.64	0.38891
1	175.43	-0.8409	125.56	-0.5133	175.43	-0.78677
4	35.847	-0.78189	24.95	-0.014787	35.847	-0.77046
12	16.725	-0.026607	16.439	0.10576	16.725	0.17376
24	9.3833	-0.01732	9.0755	0.27105	9.3833	0.34007
0.5	148.65	0.31251	176.51	-0.021725	148.65	0.51496
1	124.27	0.68343	145.37	0.44573	124.27	0.80945
4	50.51	0.47207	56.393	0.11815	50.51	0.48124
12	18.609	0.29047	22.438	0.2334	18.609	0.45953
24	10.553	0.29287	13.308	0.10084	10.553	0.55508
0.5	167.02	-0.33523	139.09	0.26908	167.02	-0.20353
1	135.8	-0.37575	117.33	-0.20315	135.8	-0.25808
4	48.909	0.12743	47.855	0.35525	48.909	0.25556
12	18.055	-0.41794	14.773	0.10745	18.055	-0.28637
24	10.268	-0.45854	7.862	0.015789	10.268	-0.26466
0.5	148.65	1.0254	209.5	0.6559	148.65	1.1185
1	124.27	0.44281	159.97	-0.6275	124.27	0.61066
4	50.51	0.91829	64.56	0.10182	50.51	0.95858
12	18.609	2.6091	41.357	0.50732	18.609	2.0332
24	10.553	2.589	26.312	0.33072	10.553	1.9487
0.5	137.96	-0.55053	113.04	-0.29578	137.96	-0.43603
1	109.24	-0.44828	79.43	0.65139	109.24	-0.35815
4	33.197	-1.3057	13.581	-0.1214	33.197	-1.567
12	9.5532	-1.095	3.0074	0.24066	9.5532	-1.4025
24	4.533	-1.0452	0.91838	-0.58703	4.533	-1.7455
0.5	161.66	1.6434	250.57	0.66863	161.66	1.4631
1	121.06	1.012	170.62	-0.48656	121.06	1.0826
4	29.149	0.71091	41.266	0.23293	29.149	0.83227
12	9.0307	1.6484	23.651	-0.11756	9.0307	1.5452
24	4.294	2.3508	14.208	0.65064	4.294	1.8885
0.5	173.77	0.92228	218.85	0.89448	173.77	0.91868
1	139.79	0.14237	155.07	-0.55503	139.79	0.24729
4	48.145	-0.87738	31.083	0.18407	48.145	-0.86928
12	17.886	-0.7279	11.634	0.09297	17.886	-0.7115
24	10.176	-0.69768	6.0695	-0.080122	10.176	-0.64322
0.5	149.9	0.68465	206.76	0.012086	149.9	0.78111
1	125.09	1.0124	169.96	0.13863	125.09	1.0048
4	50.427	2.0968	81.543	0.3522	50.427	1.7608
12	18.566	3.502	49.985	0.76437	18.566	2.6849
24	10.532	2.8221	31.619	0.18356	10.532	2.0636
0.5	169.51	-0.079639	182.42	-0.92998	169.51	0.089975
1	124.39	0.56263	128.36	0.79409	124.39	0.65238
4	27.718	-0.38217	25.66	-0.49994	27.718	-0.30643
12	8.9047	0.058425	11.101	-0.51962	8.9047	0.29944
24	4.2289	0.87514	6.9002	1.1038	4.2289	0.96406
0.5	141.63	0.10569	183.93	-0.99363	141.63	0.31472
1	119.61	1.0787	139.87	1.7409	119.61	1.101
4	50.899	-1.0301	30.839	-0.1375	50.899	-1.1463
