Scenario,Strat1,Strat2,Strat3,t,DV,ObsName
,0,0,0,6,14.2258,CObs
,0,0,0,9,10.928,CObs
,0,0,0,24,9.26994,CObs
,0,0,0,36,7.9906,CObs
,0,0,0,48,6.59539,CObs
,0,0,0,72,5.3806,CObs
,0,0,0,96,3.34747,CObs
,0,0,0,120,3.07165,CObs
,0,0,0,1.5,3.70274,CObs
,0,0,0,3,6.91742,CObs
,0,0,0,6,10.1421,CObs
,0,0,0,9,10.123,CObs
,0,0,0,24,9.5832,CObs
,0,0,0,36,6.95893,CObs
,0,0,0,48,6.38583,CObs
,0,0,0,72,5.13857,CObs
,0,0,0,96,3.09831,CObs
,0,0,0,120,2.43007,CObs
,0,0,0,0.5,0.4558,CObs
,0,0,0,1,0.128176,CObs
,0,0,0,2,11.7879,CObs
,0,0,0,3,12.1222,CObs
,0,0,0,6,11.9777,CObs
,0,0,0,9,11.3809,CObs
,0,0,0,24,8.45019,CObs
,0,0,0,36,6.9762,CObs
,0,0,0,48,5.86847,CObs
,0,0,0,72,4.60648,CObs
,0,0,0,96,2.30936,CObs
,0,0,0,1,3.92784,CObs
,0,0,0,3,8.78103,CObs
,0,0,0,6,10.3932,CObs
,0,0,0,9,10.82,CObs
,0,0,0,24,7.75943,CObs
,0,0,0,36,5.16631,CObs
,0,0,0,48,4.69561,CObs
,0,0,0,72,2.40549,CObs
,0,0,0,96,2.06097,CObs
,0,0,0,120,1.61331,CObs
,0,0,0,24,10.281,CObs
,0,0,0,36,10.4927,CObs
,0,0,0,48,6.92983,CObs
,0,0,0,72,4.98086,CObs
,0,0,0,96,3.27344,CObs
,0,0,0,120,2.9342,CObs
,0,0,0,24,10.7641,CObs
,0,0,0,36,7.9512,CObs
,0,0,0,48,6.10807,CObs
,0,0,0,72,4.82459,CObs
,0,0,0,96,3.17303,CObs
,0,0,0,120,1.98088,CObs
,0,0,0,24,11.9668,CObs
,0,0,0,36,7.77277,CObs
,0,0,0,48,6.18,CObs
,0,0,0,72,3.35095,CObs
,0,0,0,96,2.71919,CObs
,0,0,0,120,1.94561,CObs
