"Scenario","Strat1","Strat2","Strat3","t","DV","ObsName","ModelName","PRED"
NA,0,0,0,24,8.49148,"CObs","d.True model
 Turnover PD",6.27788
NA,0,0,0,36,7.26568,"CObs","d.True model
 Turnover PD",19.5949
NA,0,0,0,48,5.6725,"CObs","d.True model
 Turnover PD",4.2807
NA,0,0,0,72,3.59971,"CObs","d.True model
 Turnover PD",18.5671
NA,0,0,0,96,1.40897,"CObs","d.True model
 Turnover PD",2.91888
NA,0,0,0,120,1.02245,"CObs","d.True model
 Turnover PD",22.7757
NA,0,0,0,6,11.1409,"CObs","d.True model
 Turnover PD",1.9903
NA,0,0,0,12,11.2589,"CObs","d.True model
 Turnover PD",29.3914
NA,0,0,0,24,6.26005,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,36,5.46735,"CObs","d.True model
 Turnover PD",9.16873
NA,0,0,0,48,3.05395,"CObs","d.True model
 Turnover PD",35.7039
NA,0,0,0,72,2.12826,"CObs","d.True model
 Turnover PD",7.55541
NA,0,0,0,96,1.04368,"CObs","d.True model
 Turnover PD",24.5836
NA,0,0,0,120,1.0427,"CObs","d.True model
 Turnover PD",6.22595
NA,0,0,0,3,12.0758,"CObs","d.True model
 Turnover PD",19.6543
NA,0,0,0,6,10.9982,"CObs","d.True model
 Turnover PD",4.22766
NA,0,0,0,9,10.228,"CObs","d.True model
 Turnover PD",18.6988
NA,0,0,0,12,11.462,"CObs","d.True model
 Turnover PD",2.87075
NA,0,0,0,24,10.755,"CObs","d.True model
 Turnover PD",23.0093
NA,0,0,0,36,7.27943,"CObs","d.True model
 Turnover PD",1.94935
NA,0,0,0,48,5.56896,"CObs","d.True model
 Turnover PD",29.7505
NA,0,0,0,72,4.4709,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,96,3.71635,"CObs","d.True model
 Turnover PD",9.04072
NA,0,0,0,3,5.15487,"CObs","d.True model
 Turnover PD",35.7546
NA,0,0,0,6,8.34531,"CObs","d.True model
 Turnover PD",7.39158
NA,0,0,0,9,9.5607,"CObs","d.True model
 Turnover PD",24.7008
NA,0,0,0,12,8.93445,"CObs","d.True model
 Turnover PD",6.04324
NA,0,0,0,24,6.38648,"CObs","d.True model
 Turnover PD",19.8651
NA,0,0,0,36,5.53676,"CObs","d.True model
 Turnover PD",4.03957
NA,0,0,0,48,4.1472,"CObs","d.True model
 Turnover PD",19.1821
NA,0,0,0,72,2.74694,"CObs","d.True model
 Turnover PD",2.70023
NA,0,0,0,96,2.28828,"CObs","d.True model
 Turnover PD",23.8792
NA,0,0,0,120,1.33701,"CObs","d.True model
 Turnover PD",1.80495
NA,0,0,0,1,0.062565,"CObs","d.True model
 Turnover PD",31.0947
NA,0,0,0,2,3.6674,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,3,6.0024,"CObs","d.True model
 Turnover PD",8.983
NA,0,0,0,6,9.42868,"CObs","d.True model
 Turnover PD",35.7762
NA,0,0,0,9,8.94,"CObs","d.True model
 Turnover PD",7.31583
NA,0,0,0,12,9.8611,"CObs","d.True model
 Turnover PD",24.7547
NA,0,0,0,24,7.35029,"CObs","d.True model
 Turnover PD",5.95805
NA,0,0,0,36,5.93497,"CObs","d.True model
 Turnover PD",19.9652
NA,0,0,0,48,4.62862,"CObs","d.True model
 Turnover PD",3.95171
NA,0,0,0,72,3.50407,"CObs","d.True model
 Turnover PD",19.418
NA,0,0,0,96,2.08366,"CObs","d.True model
 Turnover PD",2.62099
NA,0,0,0,120,1.58441,"CObs","d.True model
 Turnover PD",24.3086
NA,0,0,0,24,8.9016,"CObs","d.True model
 Turnover PD",1.73839
NA,0,0,0,36,6.28346,"CObs","d.True model
 Turnover PD",31.7598
NA,0,0,0,48,5.39234,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,72,2.51752,"CObs","d.True model
 Turnover PD",9.0235
NA,0,0,0,96,1.3743,"CObs","d.True model
 Turnover PD",35.76
NA,0,0,0,120,1.40836,"CObs","d.True model
 Turnover PD",7.36743
NA,0,0,0,1.5,0.0611294,"CObs","d.True model
 Turnover PD",24.7168
NA,0,0,0,3,7.66132,"CObs","d.True model
 Turnover PD",6.01527
NA,0,0,0,6,10.7992,"CObs","d.True model
 Turnover PD",19.8967
NA,0,0,0,12,11.4507,"CObs","d.True model
 Turnover PD",4.0099
NA,0,0,0,24,9.42206,"CObs","d.True model
 Turnover PD",19.2599
NA,0,0,0,36,8.83509,"CObs","d.True model
 Turnover PD",2.67308
NA,0,0,0,48,6.9721,"CObs","d.True model
 Turnover PD",24.0233
NA,0,0,0,72,5.18922,"CObs","d.True model
 Turnover PD",1.78192
NA,0,0,0,96,3.98071,"CObs","d.True model
 Turnover PD",31.3202
NA,0,0,0,120,2.60701,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,3,9.97305,"CObs","d.True model
 Turnover PD",8.96897
NA,0,0,0,6,13.3811,"CObs","d.True model
 Turnover PD",35.7819
NA,0,0,0,9,10.2632,"CObs","d.True model
 Turnover PD",7.29799
NA,0,0,0,24,8.87697,"CObs","d.True model
 Turnover PD",24.7679
NA,0,0,0,36,7.9906,"CObs","d.True model
 Turnover PD",5.93829
NA,0,0,0,48,6.58784,"CObs","d.True model
 Turnover PD",19.9891
NA,0,0,0,72,5.35197,"CObs","d.True model
 Turnover PD",3.93168
NA,0,0,0,96,3.30398,"CObs","d.True model
 Turnover PD",19.4732
NA,0,0,0,120,2.98538,"CObs","d.True model
 Turnover PD",2.60313
NA,0,0,0,1.5,3.5627,"CObs","d.True model
 Turnover PD",24.4082
NA,0,0,0,3,6.64659,"CObs","d.True model
 Turnover PD",1.72351
NA,0,0,0,6,9.88824,"CObs","d.True model
 Turnover PD",31.9132
NA,0,0,0,9,10.123,"CObs","d.True model
 Turnover PD",95.8316
NA,0,0,0,24,9.57393,"CObs","d.True model
 Turnover PD",9.16203
NA,0,0,0,36,6.92655,"CObs","d.True model
 Turnover PD",35.704
NA,0,0,0,48,6.31248,"CObs","d.True model
 Turnover PD",7.54297
NA,0,0,0,72,5.01143,"CObs","d.True model
 Turnover PD",24.5897
NA,0,0,0,96,2.99448,"CObs","d.True model
 Turnover PD",6.21
NA,0,0,0,120,2.34542,"CObs","d.True model
 Turnover PD",19.6696
NA,0,0,0,0.5,0.4558,"CObs","d.True model
 Turnover PD",4.2091
NA,0,0,0,1,0.128219,"CObs","d.True model
 Turnover PD",18.7424
NA,0,0,0,2,11.8082,"CObs","d.True model
 Turnover PD",2.8529
NA,0,0,0,3,12.1751,"CObs","d.True model
 Turnover PD",23.0943
