"grp","x","cens","y","cov","ty","PRED","ModelName"
7,120,0,-0.820379145968461,1,-0.820379145968461,29.8875,"d.True model
 Turnover PD"
1,0,0,-1.44663206715898,1,-1.44663206715898,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.900225985701433,1,-0.900225985701433,35.6957,"d.True model
 Turnover PD"
3,36,0,-3.09023230616781,1,-3.09023230616781,24.5648,"d.True model
 Turnover PD"
4,48,0,-0.495850347347453,1,-0.495850347347453,19.6205,"d.True model
 Turnover PD"
5,72,0,-0.93458929107348,1,-0.93458929107348,18.6215,"d.True model
 Turnover PD"
6,96,0,-0.683960672350682,1,-0.683960672350682,22.8705,"d.True model
 Turnover PD"
7,120,0,-1.11232136724931,1,-1.11232136724931,29.5355,"d.True model
 Turnover PD"
1,0,0,0.680796918764575,1,0.680796918764575,95.8316,"d.True model
 Turnover PD"
2,24,0,-1.1076800921478,1,-1.1076800921478,35.7039,"d.True model
 Turnover PD"
3,36,0,-1.66456286120272,1,-1.66456286120272,24.5836,"d.True model
 Turnover PD"
4,48,0,-1.62576338623323,1,-1.62576338623323,19.6543,"d.True model
 Turnover PD"
5,72,0,-0.0175472983721508,1,-0.0175472983721508,18.6988,"d.True model
 Turnover PD"
6,96,0,-0.585814765687599,1,-0.585814765687599,23.0093,"d.True model
 Turnover PD"
7,120,0,-0.735557557385111,1,-0.735557557385111,29.7505,"d.True model
 Turnover PD"
1,0,0,0.631061979059499,1,0.631061979059499,95.8316,"d.True model
 Turnover PD"
2,24,0,0.658837692736188,1,0.658837692736188,35.6802,"d.True model
 Turnover PD"
3,36,0,2.6520698079022,1,2.6520698079022,24.5316,"d.True model
 Turnover PD"
4,48,0,2.25712924448622,1,2.25712924448622,19.5631,"d.True model
 Turnover PD"
5,72,0,2.5758293035489,1,2.5758293035489,18.4944,"d.True model
 Turnover PD"
6,96,0,3.09023230616781,1,3.09023230616781,22.6452,"d.True model
 Turnover PD"
7,120,0,2.87816173909548,1,2.87816173909548,29.1891,"d.True model
 Turnover PD"
1,0,0,1.37220380899873,1,1.37220380899873,95.8316,"d.True model
 Turnover PD"
2,24,0,0.0275764057393917,1,0.0275764057393917,35.6802,"d.True model
 Turnover PD"
3,36,0,-0.0677307130042592,1,-0.0677307130042592,24.5316,"d.True model
 Turnover PD"
4,48,0,0.0979147342114995,1,0.0979147342114995,19.5631,"d.True model
 Turnover PD"
5,72,0,-0.107994569409154,1,-0.107994569409154,18.4944,"d.True model
 Turnover PD"
6,96,0,-0.462113401776377,1,-0.462113401776377,22.6452,"d.True model
 Turnover PD"
7,120,0,0.382622075162534,1,0.382622075162534,29.1891,"d.True model
 Turnover PD"
1,0,0,-0.515791557046827,1,-0.515791557046827,95.8316,"d.True model
 Turnover PD"
2,24,0,-0.434397242259781,1,-0.434397242259781,35.6802,"d.True model
 Turnover PD"
3,36,0,-1.18504412790781,1,-1.18504412790781,24.5316,"d.True model
 Turnover PD"
4,48,0,-1.58046681839936,1,-1.58046681839936,19.5631,"d.True model
 Turnover PD"
5,72,0,-1.46105626918691,1,-1.46105626918691,18.4944,"d.True model
 Turnover PD"
6,96,0,-1.11698672787661,1,-1.11698672787661,22.6452,"d.True model
 Turnover PD"
7,120,0,-1.30468538522879,1,-1.30468538522879,29.1891,"d.True model
 Turnover PD"
1,0,0,-0.158579729753843,1,-0.158579729753843,95.8316,"d.True model
 Turnover PD"
2,24,0,0.212137198317524,1,0.212137198317524,35.6095,"d.True model
 Turnover PD"
3,36,0,-0.201893479141851,1,-0.201893479141851,24.3689,"d.True model
 Turnover PD"
4,48,0,0.53594002664749,1,0.53594002664749,19.2718,"d.True model
 Turnover PD"
5,72,0,-0.690308823933034,1,-0.690308823933034,17.8328,"d.True model
 Turnover PD"
6,96,0,-0.896473364001916,1,-0.896473364001916,21.4589,"d.True model
 Turnover PD"
7,120,0,-0.530161445055519,1,-0.530161445055519,27.3478,"d.True model
 Turnover PD"
1,0,0,0.379926467041307,1,0.379926467041307,95.8316,"d.True model
 Turnover PD"
2,24,0,0.199335898061207,1,0.199335898061207,35.7212,"d.True model
 Turnover PD"
3,36,0,0.201893479141851,1,0.201893479141851,24.6267,"d.True model
 Turnover PD"
4,48,0,-0.624955903494687,1,-0.624955903494687,19.7341,"d.True model
 Turnover PD"
5,72,0,1.0493870846841,1,1.0493870846841,18.8858,"d.True model
 Turnover PD"
6,96,0,0.597760126042478,1,0.597760126042478,23.3492,"d.True model
 Turnover PD"
7,120,0,0.44544250629172,1,0.44544250629172,30.2791,"d.True model
 Turnover PD"
1,0,0,0.60979139867408,1,0.60979139867408,95.8316,"d.True model
 Turnover PD"
2,24,0,0.245589523422081,1,0.245589523422081,35.6655,"d.True model
 Turnover PD"
3,36,0,0.680796918764575,1,0.680796918764575,24.5004,"d.True model
 Turnover PD"
4,48,0,-1.39174377939633,1,-1.39174377939633,19.5089,"d.True model
 Turnover PD"
5,72,0,-1.48328012733562,1,-1.48328012733562,18.3747,"d.True model
 Turnover PD"
6,96,0,-1.46105626918691,1,-1.46105626918691,22.4329,"d.True model
 Turnover PD"
7,120,0,0.0225615683902247,1,0.0225615683902247,28.8623,"d.True model
 Turnover PD"
1,0,0,1.22652812003661,1,1.22652812003661,95.8316,"d.True model
 Turnover PD"
2,24,0,1.60724789190022,1,1.60724789190022,35.76,"d.True model
 Turnover PD"
3,36,0,1.86629574345811,1,1.86629574345811,24.7168,"d.True model
 Turnover PD"
4,48,0,0.544641654799999,1,0.544641654799999,19.8967,"d.True model
 Turnover PD"
5,72,0,0.665078946175923,1,0.665078946175923,19.2599,"d.True model
 Turnover PD"
6,96,0,-0.230118100657266,1,-0.230118100657266,24.0233,"d.True model
 Turnover PD"
7,120,0,-0.748763106614909,1,-0.748763106614909,31.3202,"d.True model
 Turnover PD"
2,24,0,2.51214432793046,1,2.51214432793046,23.6258,"a.Misspecified delay
 Immediate effect"
3,36,0,0.45376219016988,1,0.45376219016988,23.8879,"a.Misspecified delay
 Immediate effect"
4,48,0,0,1,0,24.2045,"a.Misspecified delay
 Immediate effect"
5,72,0,1.01522203321703,1,1.01522203321703,25.0451,"a.Misspecified delay
 Immediate effect"
6,96,0,1.49085335524666,1,1.49085335524666,26.2548,"a.Misspecified delay
 Immediate effect"
7,120,0,1.99539331016782,1,1.99539331016782,27.9732,"a.Misspecified delay
 Immediate effect"
8,144,0,2.29036787785527,1,2.29036787785527,30.369,"a.Misspecified delay
 Immediate effect"
1,0,0,0.706302562840088,1,0.706302562840088,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,0.442676144203822,1,0.442676144203822,23.6258,"a.Misspecified delay
 Immediate effect"
3,36,0,0.184017151161979,1,0.184017151161979,23.8879,"a.Misspecified delay
 Immediate effect"
4,48,0,0.176374164780861,1,0.176374164780861,24.2045,"a.Misspecified delay
 Immediate effect"
5,72,0,-0.245589523422081,1,-0.245589523422081,25.0451,"a.Misspecified delay
 Immediate effect"
6,96,0,0.573952418568573,1,0.573952418568573,26.2548,"a.Misspecified delay
 Immediate effect"
7,120,0,0.591776890591446,1,0.591776890591446,27.9732,"a.Misspecified delay
 Immediate effect"
1,0,0,-0.363809859029696,1,-0.363809859029696,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,0.550465695020112,1,0.550465695020112,23.6258,"a.Misspecified delay
 Immediate effect"
3,36,0,-0.0576844251079842,1,-0.0576844251079842,23.8879,"a.Misspecified delay
 Immediate effect"
4,48,0,-0.703089460330929,1,-0.703089460330929,24.2045,"a.Misspecified delay
 Immediate effect"
5,72,0,-0.903991327564402,1,-0.903991327564402,25.0451,"a.Misspecified delay
 Immediate effect"
6,96,0,-0.709522973844608,1,-0.709522973844608,26.2548,"a.Misspecified delay
 Immediate effect"
7,120,0,-1.1455050613927,1,-1.1455050613927,27.9732,"a.Misspecified delay
 Immediate effect"
8,144,0,-0.859617364241911,1,-0.859617364241911,30.369,"a.Misspecified delay
 Immediate effect"
1,0,0,-0.498686864142122,1,-0.498686864142122,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,0.355787114034875,1,0.355787114034875,23.6064,"a.Misspecified delay
 Immediate effect"
3,36,0,-0.308108202447355,1,-0.308108202447355,23.852,"a.Misspecified delay
 Immediate effect"
4,48,0,-0.889005730601025,1,-0.889005730601025,24.1462,"a.Misspecified delay
 Immediate effect"
5,72,0,-0.91918273514682,1,-0.91918273514682,24.9177,"a.Misspecified delay
 Immediate effect"
6,96,0,-1.32853932885681,1,-1.32853932885681,26.0118,"a.Misspecified delay
 Immediate effect"
7,120,0,-0.99857627061566,1,-0.99857627061566,27.5458,"a.Misspecified delay
 Immediate effect"
8,144,0,-0.374543499199443,1,-0.374543499199443,29.6627,"a.Misspecified delay
 Immediate effect"
1,0,0,1.2815515655446,1,1.2815515655446,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,2.19728637664105,1,2.19728637664105,23.6844,"a.Misspecified delay
 Immediate effect"
3,36,0,0.363809859029696,1,0.363809859029696,24.0003,"a.Misspecified delay
 Immediate effect"
4,48,0,1.27023762239315,1,1.27023762239315,24.3915,"a.Misspecified delay
 Immediate effect"
5,72,0,1.71688601843104,1,1.71688601843104,25.4695,"a.Misspecified delay
 Immediate effect"
6,96,0,1.78661336549347,1,1.78661336549347,27.091,"a.Misspecified delay
 Immediate effect"
7,120,0,2.17009037758456,1,2.17009037758456,29.4815,"a.Misspecified delay
 Immediate effect"
8,144,0,1.95996398454005,1,1.95996398454005,32.9033,"a.Misspecified delay
 Immediate effect"
1,0,0,-0.755415026360469,1,-0.755415026360469,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,1.46105626918691,1,1.46105626918691,23.612,"a.Misspecified delay
 Immediate effect"
3,36,0,0.388021666217977,1,0.388021666217977,23.8629,"a.Misspecified delay
 Immediate effect"
4,48,0,-0.735557557385111,1,-0.735557557385111,24.1641,"a.Misspecified delay
 Immediate effect"
5,72,0,0.334503036423212,1,0.334503036423212,24.9573,"a.Misspecified delay
 Immediate effect"
6,96,0,0.300232259380722,1,0.300232259380722,26.0878,"a.Misspecified delay
 Immediate effect"
7,120,0,1.31651871841826,1,1.31651871841826,27.6796,"a.Misspecified delay
 Immediate effect"
8,144,0,1.48328012733562,1,1.48328012733562,29.8839,"a.Misspecified delay
 Immediate effect"
2,24,0,0.738846849185214,1,0.738846849185214,23.6366,"a.Misspecified delay
 Immediate effect"
3,36,0,-0.237846695417749,1,-0.237846695417749,23.9088,"a.Misspecified delay
 Immediate effect"
4,48,0,-0.515791557046827,1,-0.515791557046827,24.2392,"a.Misspecified delay
 Immediate effect"
5,72,0,-1.34693862611028,1,-1.34693862611028,25.1228,"a.Misspecified delay
 Immediate effect"
6,96,0,-1.37865872862328,1,-1.37865872862328,26.4058,"a.Misspecified delay
 Immediate effect"
7,120,0,-0.493017814484465,1,-0.493017814484465,28.2423,"a.Misspecified delay
 Immediate effect"
8,144,0,-0.250759571882916,1,-0.250759571882916,30.8178,"a.Misspecified delay
 Immediate effect"
1,0,0,1.45380635894057,1,1.45380635894057,96.1597,"a.Misspecified delay
 Immediate effect"
2,24,0,1.42554403708045,1,1.42554403708045,23.5949,"a.Misspecified delay
 Immediate effect"
3,36,0,0.347787204278627,1,0.347787204278627,23.8305,"a.Misspecified delay
 Immediate effect"
4,48,0,0.437153541391722,1,0.437153541391722,24.1113,"a.Misspecified delay
 Immediate effect"
