grp,x,cens,y,cov,ty,PRED,ModelName,PPRED,PWRES
4,48,0,0.544641655,1,0.544641655,19.8967,"d.True model
 Turnover PD",21.02502074,-1.253420334
5,72,0,0.665078946,1,0.665078946,19.2599,"d.True model
 Turnover PD",20.68972382,-0.296860956
6,96,0,-0.230118101,1,-0.230118101,24.0233,"d.True model
 Turnover PD",25.89972241,-1.242310064
7,120,0,-0.748763107,1,-0.748763107,31.3202,"d.True model
 Turnover PD",33.44637078,-1.193303578
2,24,0,2.512144328,1,2.512144328,23.6258,"a.Misspecified delay
 Immediate effect",23.72703663,2.492969335
3,36,0,0.45376219,1,0.45376219,23.8879,"a.Misspecified delay
 Immediate effect",24.62645911,0.019420235
4,48,0,0,1,0,24.2045,"a.Misspecified delay
 Immediate effect",25.18810931,-0.330413465
5,72,0,1.015222033,1,1.015222033,25.0451,"a.Misspecified delay
 Immediate effect",26.42893583,0.504185139
6,96,0,1.490853355,1,1.490853355,26.2548,"a.Misspecified delay
 Immediate effect",28.49138738,0.974007265
7,120,0,1.99539331,1,1.99539331,27.9732,"a.Misspecified delay
 Immediate effect",31.79141118,1.63166766
8,144,0,2.290367878,1,2.290367878,30.369,"a.Misspecified delay
 Immediate effect",34.67020996,1.932152709
1,0,0,0.706302563,1,0.706302563,96.1597,"a.Misspecified delay
 Immediate effect",96.0287692,0.688143433
2,24,0,0.442676144,1,0.442676144,23.6258,"a.Misspecified delay
 Immediate effect",24.14221741,0.46629765
3,36,0,0.184017151,1,0.184017151,23.8879,"a.Misspecified delay
 Immediate effect",24.34253669,0.022529079
4,48,0,0.176374165,1,0.176374165,24.2045,"a.Misspecified delay
 Immediate effect",25.1046175,-0.034280599
5,72,0,-0.245589523,1,-0.245589523,25.0451,"a.Misspecified delay
 Immediate effect",26.53181344,-0.47193246
6,96,0,0.573952419,1,0.573952419,26.2548,"a.Misspecified delay
 Immediate effect",28.11648609,0.474225649
7,120,0,0.591776891,1,0.591776891,27.9732,"a.Misspecified delay
 Immediate effect",30.88983126,0.396975395
1,0,0,-0.363809859,1,-0.363809859,96.1597,"a.Misspecified delay
 Immediate effect",95.9858197,-0.337531978
2,24,0,0.550465695,1,0.550465695,23.6258,"a.Misspecified delay
 Immediate effect",23.85237346,0.589172828
3,36,0,-0.057684425,1,-0.057684425,23.8879,"a.Misspecified delay
 Immediate effect",24.60985543,-0.155946898
4,48,0,-0.70308946,1,-0.70308946,24.2045,"a.Misspecified delay
 Immediate effect",24.91650412,-0.830558951
5,72,0,-0.903991328,1,-0.903991328,25.0451,"a.Misspecified delay
 Immediate effect",26.22228217,-0.793754478
6,96,0,-0.709522974,1,-0.709522974,26.2548,"a.Misspecified delay
 Immediate effect",28.28141841,-0.480152735
7,120,0,-1.145505061,1,-1.145505061,27.9732,"a.Misspecified delay
 Immediate effect",31.01344857,-0.747359421
8,144,0,-0.859617364,1,-0.859617364,30.369,"a.Misspecified delay
 Immediate effect",34.69058754,0.006415252
1,0,0,-0.498686864,1,-0.498686864,96.1597,"a.Misspecified delay
 Immediate effect",95.8016284,-0.547595766
2,24,0,0.355787114,1,0.355787114,23.6064,"a.Misspecified delay
 Immediate effect",23.99279611,0.387271858
3,36,0,-0.308108202,1,-0.308108202,23.852,"a.Misspecified delay
 Immediate effect",25.16588861,-0.375625645
4,48,0,-0.889005731,1,-0.889005731,24.1462,"a.Misspecified delay
 Immediate effect",25.38575641,-0.901861392
5,72,0,-0.919182735,1,-0.919182735,24.9177,"a.Misspecified delay
 Immediate effect",26.50548144,-0.758632526
6,96,0,-1.328539329,1,-1.328539329,26.0118,"a.Misspecified delay
 Immediate effect",28.74969719,-0.848814241
7,120,0,-0.998576271,1,-0.998576271,27.5458,"a.Misspecified delay
 Immediate effect",31.16984254,-0.113507708
